winner,ref,diff_TD,diff_sub_att,diff_sig_str_leg_pct,diff_sig_str_head_pct,diff_total_str,diff_sig_str_distance_pct,diff_sig_str_body,diff_sig_str_pct,diff_KD,diff_sig_str_distance,diff_sig_str_ground,diff_sig_str_body_pct,diff_sig_str_clinch,diff_sig_str,diff_sig_str_head,diff_TD_pct,diff_sig_str_clinch_pct,diff_sig_str_leg,diff_sig_str_ground_pct
W,Mark Smith,2.0,0.0,-6.0,-7.0,26.0,2.0,7.0,9.0,-1.0,5.0,-5.0,13.0,6.0,6.0,1.0,27.0,10.0,-2.0,-12.0
W,Vitor Ribeiro,1.0,0.0,-2.0,-2.0,8.0,-22.0,4.0,3.0,1.0,-6.0,11.0,5.0,5.0,10.0,6.0,35.0,7.0,0.0,15.0
W,Kerry Hatley,3.0,-1.0,4.0,14.0,41.0,-5.0,-6.0,11.0,0.0,11.0,4.0,-18.0,0.0,15.0,16.0,32.0,-1.0,5.0,6.0
W,Mark Smith,3.0,0.0,2.0,-14.0,69.0,-6.0,11.0,19.0,0.0,21.0,4.0,11.0,5.0,30.0,14.0,23.0,0.0,5.0,6.0
W,Vitor Ribeiro,1.0,0.0,-6.0,8.0,-27.0,1.0,-1.0,6.0,0.0,2.0,0.0,-1.0,0.0,2.0,10.0,-15.0,-1.0,-7.0,0.0
W,Herb Dean,10.0,-1.0,3.0,49.0,190.0,-55.0,6.0,26.0,0.0,23.0,97.0,-52.0,8.0,128.0,117.0,34.0,-9.0,5.0,63.0
W,Keith Peterson,-4.0,0.0,-26.0,31.0,15.0,7.0,2.0,14.0,0.0,24.0,-5.0,-5.0,4.0,23.0,31.0,-80.0,6.0,-10.0,-13.0
W,Mark Smith,2.0,-2.0,-24.0,10.0,6.0,-15.0,8.0,-9.0,1.0,-19.0,11.0,14.0,-2.0,-10.0,1.0,33.0,-2.0,-19.0,16.0
L,Keith Peterson,-1.0,1.0,-13.0,19.0,-17.0,-2.0,-3.0,-2.0,-1.0,-5.0,0.0,-5.0,-1.0,-6.0,1.0,-16.0,-4.0,-4.0,7.0
L,Mark Smith,2.0,0.0,-13.0,7.0,8.0,-13.0,6.0,19.0,0.0,-12.0,1.0,7.0,11.0,0.0,6.0,23.0,12.0,-12.0,1.0
