red_fighter_name,blue_fighter_name,event_date,red_fighter_nickname,blue_fighter_nickname,red_fighter_result,blue_fighter_result,method,round,time,time_format,referee,details,bout_type,bonus,event_name,event_location,red_fighter_KD,blue_fighter_KD,red_fighter_sig_str,blue_fighter_sig_str,red_fighter_sig_str_pct,blue_fighter_sig_str_pct,red_fighter_total_str,blue_fighter_total_str,red_fighter_TD,blue_fighter_TD,red_fighter_TD_pct,blue_fighter_TD_pct,red_fighter_sub_att,blue_fighter_sub_att,red_fighter_rev,blue_fighter_rev,red_fighter_ctrl,blue_fighter_ctrl,red_fighter_sig_str_head,blue_fighter_sig_str_head,red_fighter_sig_str_body,blue_fighter_sig_str_body,red_fighter_sig_str_leg,blue_fighter_sig_str_leg,red_fighter_sig_str_distance,blue_fighter_sig_str_distance,red_fighter_sig_str_clinch,blue_fighter_sig_str_clinch,red_fighter_sig_str_ground,blue_fighter_sig_str_ground,red_fighter_sig_str_head_pct,blue_fighter_sig_str_head_pct,red_fighter_sig_str_body_pct,blue_fighter_sig_str_body_pct,red_fighter_sig_str_leg_pct,blue_fighter_sig_str_leg_pct,red_fighter_sig_str_distance_pct,blue_fighter_sig_str_distance_pct,red_fighter_sig_str_clinch_pct,blue_fighter_sig_str_clinch_pct,red_fighter_sig_str_ground_pct,blue_fighter_sig_str_ground_pct,red_fighter_total_pts,blue_fighter_total_pts
LERONE MURPHY,DAN IGE,26/10/2024,The Miracle,50K,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 28 - 29. Ben Cartlidge 28 - 29. Hadi Mohamed Ali 28 - 29.,Featherweight Bout,-,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,1,52,46,52,43,78,52,3,1,60,33,0,0,0,2,2:17,4:47,36,35,12,5,4,6,37,32,12,6,3,8,69,76,23,10,7,13,71,69,23,13,5,17,29 29 29,28 28 28
MATEUSZ REBECKI,MYKTYBEK OROLBAI,26/10/2024,-,-,W,L,Decision - Split,3,5:00,3 Rnd (5-5-5),Vitor Ribeiro,Jacob Montalvo 29 - 28. Sal D'amato 28 - 29. Ben Cartlidge 28 - 29.,Catch Weight Bout,fight,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1,0,71,61,48,45,93,85,3,2,75,40,0,0,0,1,2:24,2:05,52,46,10,6,9,9,54,60,5,0,12,1,73,75,14,9,12,14,76,98,7,0,16,1,29 29 28,28 28 29
FARID BASHARAT,VICTOR HUGO,26/10/2024,Ferocious,Striker,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Mike Bell 27 - 30. Hadi Mohamed Ali 28 - 29. David Lethaby 28 - 29.,Featherweight Bout,-,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,60,45,47,36,89,48,4,1,57,25,0,1,0,0,4:37,0:18,39,23,8,14,13,8,54,43,2,2,4,0,65,51,13,31,21,17,90,95,3,4,6,0,30 29 29,27 28 28
ISMAIL NAURDIEV,BRUNO SILVA,26/10/2024,-,Blindado,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Sal D'amato 27 - 30. Jacob Montalvo 27 - 30. Tony Weeks 27 - 30.,Middleweight Bout,-,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,66,36,56,37,107,38,3,0,23,0,0,0,0,0,5:51,0:00,42,28,15,4,9,4,51,30,11,6,4,0,63,77,22,11,13,11,77,83,16,16,6,0,30 30 30,27 27 27
RINAT FAKHRETDINOV,CARLOS LEAL,26/10/2024,Gladiator,The Lion,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Vitor Ribeiro,Mike Bell 28 - 29. David Lethaby 28 - 29. Hadi Mohamed Ali 27 - 30.,Welterweight Bout,-,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,109,107,49,43,119,146,2,1,10,25,0,0,0,0,3:14,0:13,82,72,15,16,12,19,96,94,13,13,0,0,75,67,13,14,11,17,88,87,11,12,0,0,29 30 29,28 27 28
ANTHONY HERNANDEZ,MICHEL PEREIRA,19/10/2024,Fluffy,Demolidor,W,L,KO/TKO,5,2:22,5 Rnd (5-5-5-5-5),Herb Dean,Elbows to Head On Ground,Middleweight Bout,perf,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",0,0,152,24,71,45,219,29,10,0,34,0,0,1,0,1,15:42,0:56,125,8,22,16,5,0,43,20,12,4,97,0,82,33,14,66,3,0,28,83,7,16,63,0,40 39 40,35 34 35
ROB FONT,KYLER PHILLIPS,19/10/2024,-,The Matrix,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Mike Bell 28 - 29. Derek Cleary 28 - 29. Junichiro Kamijo 28 - 29.,Bantamweight Bout,-,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",0,0,61,38,44,30,65,50,0,4,0,80,0,0,0,0,1:19,4:42,50,19,11,9,0,10,56,32,5,1,0,5,81,50,18,23,0,26,91,84,8,2,0,13,29 29 29,28 28 28
CHARLES JOHNSON,SUMUDAERJI,19/10/2024,InnerG,The Tibetan Eagle,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 28 - 29. Chris Leben 28 - 29. Ron McCarthy 28 - 29.,Flyweight Bout,-,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",1,0,65,75,43,52,84,78,2,0,33,0,0,2,0,1,2:58,0:50,42,41,15,7,8,27,49,68,5,7,11,0,64,54,23,9,12,36,75,90,7,9,16,0,29 29 29,28 28 28
MATHEUS NICOLAU,ASU ALMABAYEV,19/10/2024,-,Zulfikar,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Mike Bell 28 - 29. Ron McCarthy 28 - 29. Brian Puccillo 28 - 29.,Flyweight Bout,-,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",0,1,16,22,38,40,38,55,0,1,0,16,1,0,0,0,0:00,5:17,8,7,5,8,3,7,12,17,0,1,4,4,50,31,31,36,18,31,75,77,0,4,25,18,28 28 28,29 29 29
BRAD KATONA,JEAN MATSUMOTO,19/10/2024,Superman,-,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 28 - 29. Derek Cleary 28 - 29. Ron McCarthy 28 - 29.,Bantamweight Bout,-,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",0,0,89,89,63,44,117,109,3,1,37,14,0,0,0,0,3:35,2:04,68,62,12,6,9,21,73,85,15,4,1,0,76,69,13,6,10,23,82,95,16,4,1,0,28 28 28,29 29 29
