iter	Passed	Remaining
0	68	34270
1	75	18847
2	82	13706
3	93	11600
4	174	17236
5	232	19108
6	238	16783
7	243	14980
8	268	14664
9	275	13499
10	280	12447
11	286	11642
12	293	10998
13	300	10440
14	306	9909
15	312	9464
16	320	9116
17	327	8776
18	336	8524
19	344	8259
20	351	8026
21	362	7870
22	373	7737
23	381	7567
24	392	7465
25	403	7349
26	408	7152
27	416	7020
28	423	6883
29	430	6745
30	438	6634
31	448	6556
32	456	6456
33	468	6427
34	479	6364
35	486	6269
36	504	6313
37	527	6411
38	543	6423
39	553	6361
40	567	6349
41	588	6415
42	603	6418
43	616	6386
44	623	6303
45	630	6218
46	637	6142
47	642	6052
48	650	5987
49	656	5907
50	664	5851
51	678	5847
52	685	5783
53	693	5726
54	701	5671
55	712	5647
56	721	5604
57	729	5555
58	737	5514
59	744	5461
60	755	5440
61	768	5431
62	785	5448
63	796	5424
64	806	5398
65	814	5353
66	821	5309
67	829	5268
68	837	5230
69	841	5171
70	846	5111
71	853	5072
72	860	5032
73	866	4989
74	876	4967
75	883	4929
76	892	4902
77	898	4862
78	906	4829
79	912	4792
80	918	4750
81	925	4715
82	930	4677
83	937	4641
84	943	4608
85	950	4573
86	956	4542
87	969	4537
88	976	4508
89	985	4490
90	993	4464
91	999	4433
92	1006	4405
93	1013	4377
94	1021	4355
95	1031	4339
96	1041	4325
97	1050	4309
98	1056	4280
99	1066	4264
100	1073	4241
101	1080	4217
102	1086	4187
103	1093	4163
104	1100	4140
105	1108	4121
106	1116	4101
107	1124	4081
108	1131	4060
109	1141	4046
110	1150	4030
111	1158	4014
112	1167	3997
113	1177	3986
114	1184	3965
115	1192	3946
116	1201	3933
117	1208	3910
118	1214	3889
119	1223	3873
120	1237	3876
121	1253	3883
122	1271	3898
123	1281	3886
124	1287	3862
125	1295	3846
126	1303	3827
127	1310	3809
128	1319	3795
129	1328	3782
130	1335	3761
131	1345	3751
132	1354	3738
133	1362	3721
134	1371	3706
135	1382	3700
136	1391	3686
137	1398	3668
138	1403	3646
139	1411	3628
140	1418	3611
141	1425	3593
142	1430	3570
143	1438	3557
144	1445	3538
145	1452	3521
146	1461	3509
147	1469	3494
148	1477	3479
149	1484	3462
150	1491	3447
151	1499	3432
152	1506	3415
153	1513	3400
154	1516	3375
155	1523	3359
156	1532	3347
157	1539	3331
158	1546	3316
159	1553	3301
160	1560	3286
161	1568	3272
162	1575	3257
163	1581	3241
164	1591	3231
165	1601	3222
166	1612	3214
167	1641	3243
168	1728	3386
169	1738	3375
170	1762	3391
171	1776	3387
172	1781	3367
173	1788	3351
174	1794	3331
175	1800	3313
176	1805	3294
177	1810	3275
178	1815	3256
179	1820	3236
180	1827	3221
181	1836	3209
182	1844	3195
183	1853	3183
184	1861	3169
185	1869	3156
186	1876	3141
187	1884	3126
188	1891	3112
189	1899	3098
190	1904	3080
191	1911	3066
192	1917	3049
193	1924	3036
194	1936	3029
195	1945	3016
196	1951	3001
197	1958	2987
198	1968	2977
199	1980	2970
200	1991	2962
201	2002	2953
202	2007	2936
203	2012	2920
204	2018	2904
205	2023	2888
206	2028	2871
207	2034	2856
208	2039	2839
209	2047	2827
210	2052	2811
211	2058	2795
212	2064	2781
213	2071	2768
214	2077	2753
215	2084	2740
216	2090	2726
217	2097	2713
218	2103	2698
219	2107	2682
220	2114	2669
221	2119	2653
222	2126	2641
223	2132	2627
224	2137	2612
225	2142	2597
226	2149	2584
227	2156	2572
228	2161	2558
229	2171	2549
230	2181	2540
231	2194	2534
232	2202	2524
233	2220	2523
234	2241	2527
235	2248	2515
236	2256	2503
237	2261	2489
238	2266	2475
239	2272	2462
240	2276	2446
241	2282	2433
242	2288	2420
243	2292	2404
244	2296	2390
245	2301	2376
246	2306	2362
247	2310	2347
248	2315	2333
249	2321	2321
250	2327	2308
251	2332	2295
252	2343	2287
253	2351	2277
254	2364	2272
255	2375	2264
256	2385	2255
257	2392	2244
258	2405	2238
259	2416	2230
260	2425	2220
261	2432	2209
262	2460	2217
263	2472	2210
264	2482	2201
265	2489	2189
266	2497	2179
267	2506	2169
268	2514	2159
269	2528	2153
270	2537	2143
271	2549	2137
272	2557	2126
273	2565	2116
274	2573	2105
275	2585	2098
276	2593	2087
277	2599	2075
278	2605	2063
279	2610	2050
280	2615	2038
281	2623	2027
282	2632	2018
283	2642	2009
284	2649	1999
285	2657	1988
286	2672	1983
287	2684	1975
288	2691	1965
289	2698	1954
290	2707	1944
291	2716	1935
292	2731	1930
293	2739	1919
294	2746	1908
295	2752	1897
296	2757	1884
297	2764	1873
298	2770	1862
299	2773	1849
300	2777	1836
301	2780	1823
302	2784	1810
303	2789	1798
304	2793	1785
305	2797	1773
306	2800	1760
307	2804	1748
308	2808	1735
309	2812	1723
310	2815	1711
311	2819	1699
312	2824	1687
313	2828	1675
314	2832	1663
315	2836	1651
316	2841	1640
317	2845	1628
318	2849	1616
319	2853	1605
320	2858	1593
321	2862	1582
322	2867	1571
323	2872	1560
324	2876	1549
325	2882	1538
326	2887	1527
327	2893	1517
328	2897	1506
329	2903	1495
330	2908	1484
331	2913	1474
332	2916	1462
333	2920	1451
334	2924	1440
335	2927	1429
336	2931	1417
337	2934	1406
338	2937	1395
339	2941	1384
340	2946	1373
341	2951	1363
342	2959	1354
343	2963	1344
344	2970	1334
345	2977	1325
346	2982	1315
347	2986	1304
348	2989	1293
349	2992	1282
350	2996	1271
351	3000	1261
352	3005	1251
353	3009	1241
354	3013	1230
355	3017	1220
356	3021	1210
357	3025	1200
358	3030	1190
359	3034	1179
360	3038	1169
361	3042	1159
362	3045	1149
363	3049	1139
364	3054	1129
365	3060	1120
366	3064	1110
367	3068	1100
368	3072	1090
369	3075	1080
370	3080	1071
371	3083	1060
372	3086	1051
373	3090	1041
374	3094	1031
375	3097	1021
376	3100	1011
377	3105	1002
378	3108	992
379	3112	982
380	3115	973
381	3118	963
382	3122	953
383	3125	944
384	3129	934
385	3133	925
386	3136	915
387	3140	906
388	3143	897
389	3148	887
390	3152	878
391	3156	869
392	3159	860
393	3163	851
394	3166	841
395	3170	832
396	3174	823
397	3178	814
398	3181	805
399	3185	796
400	3188	787
401	3192	778
402	3195	769
403	3199	760
404	3202	751
405	3206	742
406	3210	733
407	3213	724
408	3221	716
409	3229	708
410	3254	704
411	3270	698
412	3279	690
413	3286	682
414	3293	674
415	3299	666
416	3313	659
417	3321	651
418	3328	643
419	3335	635
420	3342	627
421	3348	618
422	3355	610
423	3361	602
424	3371	594
425	3376	586
426	3382	578
427	3388	569
428	3395	561
429	3402	553
430	3413	546
431	3421	538
432	3428	530
433	3435	522
434	3441	514
435	3448	506
436	3454	498
437	3461	489
438	3465	481
439	3470	473
440	3473	464
441	3477	456
442	3481	447
443	3484	439
444	3489	431
445	3492	422
446	3497	414
447	3500	406
448	3504	398
449	3508	389
450	3513	381
451	3517	373
452	3522	365
453	3526	357
454	3530	349
455	3533	340
456	3537	332
457	3541	324
458	3546	316
459	3549	308
460	3553	300
461	3557	292
462	3561	284
463	3565	276
464	3569	268
465	3573	260
466	3578	252
467	3582	244
468	3585	237
469	3589	229
470	3593	221
471	3597	213
472	3600	205
473	3605	197
474	3610	190
475	3614	182
476	3619	174
477	3624	166
478	3628	159
479	3632	151
480	3636	143
481	3641	135
482	3644	128
483	3648	120
484	3652	112
485	3655	105
486	3661	97
487	3665	90
488	3669	82
489	3673	74
490	3678	67
491	3682	59
492	3685	52
493	3690	44
494	3694	37
495	3699	29
496	3703	22
497	3706	14
498	3710	7
499	3714	0
