fighter_name,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,classification
Papy Abedi,"5' 11""",185 lbs.,,Southpaw,"Jun 30, 1978",2.80,55%,3.15,48%,3.47,57%,50%,1.3,submission specialist
Shamil Abdurakhimov,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981",2.45,44%,2.45,58%,1.23,24%,47%,0.2,striker
Ricardo Abreu,"5' 11""",185 lbs.,,Orthodox,"Apr 27, 1984",3.79,31%,3.98,68%,2.13,42%,100%,0.7,striker
Daichi Abe,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991",3.80,33%,4.49,56%,0.33,50%,0%,0.0,striker
David Abbott,"6' 0""",265 lbs.,,Switch,,1.35,30%,3.55,38%,1.07,33%,66%,0.0,striker
Klidson Abreu,"6' 0""",205 lbs.,"74""",Orthodox,"Dec 24, 1992",2.05,40%,2.90,55%,0.64,20%,80%,0.0,striker
Daniel Acacio,"5' 8""",180 lbs.,,Orthodox,"Dec 27, 1977",3.52,36%,2.85,62%,0.33,20%,81%,0.0,striker
Juan Adams,"6' 5""",265 lbs.,"80""",Orthodox,"Jan 16, 1992",7.09,55%,4.06,34%,0.91,66%,57%,0.0,striker
Mariya Agapova,"5' 6""",125 lbs.,"68""",Southpaw,"Apr 07, 1997",3.70,50%,4.15,47%,1.23,66%,33%,0.6,striker
Jessica Aguilar,"5' 3""",115 lbs.,"63""",Orthodox,"May 08, 1982",4.93,50%,7.19,53%,0.94,25%,50%,0.2,striker
Kevin Aguilar,"5' 7""",155 lbs.,"73""",Orthodox,"Sep 07, 1988",3.69,37%,4.47,53%,0.19,25%,87%,0.0,striker
Rostem Akman,"5' 10""",170 lbs.,"72""",Switch,"Dec 19, 1991",1.80,25%,3.97,57%,1.00,40%,87%,0.0,striker
Omari Akhmedov,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987",2.95,35%,2.59,57%,2.63,49%,65%,0.3,striker
Razak Al-Hassan,"6' 2""",205 lbs.,,Orthodox,"May 14, 1982",3.27,39%,3.14,60%,0.65,14%,57%,0.0,striker
Yoshihiro Akiyama,"5' 10""",170 lbs.,"75""",Orthodox,"Jul 29, 1975",3.10,41%,3.62,57%,2.29,67%,92%,1.0,submission specialist
Herdem Alacabek,"6' 2""",205 lbs.,"75""",Orthodox,"Jun 07, 1991",3.84,65%,6.66,23%,2.06,50%,42%,0.0,striker
Heili Alateng,"5' 5""",135 lbs.,"66""",Orthodox,"Dec 14, 1991",2.87,32%,5.82,57%,2.33,35%,100%,0.0,striker
Amir Albazi,"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993",4.06,40%,3.15,58%,2.28,75%,66%,0.8,striker
Aleksandra Albu,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990",4.83,47%,5.56,38%,2.27,50%,77%,0.4,striker
Junior Albini,"6' 3""",264 lbs.,"74""",Orthodox,"Mar 15, 1991",3.98,51%,6.08,52%,1.54,37%,100%,0.0,striker
Ildemar Alcantara,"6' 2""",185 lbs.,"78""",Orthodox,"Nov 18, 1982",1.93,38%,2.63,50%,2.00,68%,81%,0.9,grappler
Iuri Alcantara,"5' 9""",135 lbs.,"71""",Southpaw,"Aug 04, 1980",2.72,45%,2.79,49%,1.44,62%,60%,0.8,striker
Gilbert Aldana,"6' 1""",250 lbs.,,Orthodox,"Aug 25, 1977",2.91,54%,6.26,26%,2.57,40%,33%,0.0,striker
Hector Aldana,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 17, 1988",3.59,38%,5.08,59%,0.93,100%,0%,0.0,striker
Irene Aldana,"5' 9""",135 lbs.,"68""",Orthodox,"Mar 26, 1988",5.52,38%,5.97,61%,0.23,50%,84%,0.1,striker
JJ Aldrich,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 29, 1992",3.76,41%,4.55,61%,0.80,40%,57%,0.0,striker
Jose Aldo,"5' 7""",135 lbs.,"70""",Orthodox,"Sep 09, 1986",3.45,45%,3.52,61%,0.57,56%,91%,0.1,striker
Kenneth Alexander,"5' 9""",155 lbs.,,Orthodox,"Sep 25, 1977",0.88,19%,2.20,66%,4.71,26%,0%,0.0,grappler
Jim Alers,"5' 9""",145 lbs.,"71""",Orthodox,"Oct 14, 1986",2.90,40%,4.38,56%,2.26,41%,80%,0.3,striker
Houston Alexander,"6' 0""",205 lbs.,"72""",Orthodox,"Mar 22, 1972",3.06,54%,3.20,52%,1.19,57%,33%,0.0,striker
John Alessio,"5' 10""",155 lbs.,"72""",Orthodox,"Jul 05, 1979",2.10,39%,2.91,54%,1.85,38%,70%,1.2,submission specialist
Marcio Alexandre Junior,"6' 0""",185 lbs.,"75""",Southpaw,"May 05, 1989",1.61,45%,2.89,42%,0.35,20%,66%,0.7,striker
Olaf Alfonso,"6' 2""",170 lbs.,,Orthodox,"Aug 06, 1974",1.65,38%,4.77,53%,0.37,7%,22%,0.7,striker
Bill Algeo,"6' 0""",145 lbs.,"73""",Switch,"Jun 09, 1989",6.80,56%,5.31,38%,0.67,33%,62%,0.0,striker
Sultan Aliev,"5' 11""",170 lbs.,"74""",Orthodox,"Sep 17, 1984",1.41,45%,2.20,56%,1.76,38%,100%,0.0,grappler
John Allan,"6' 1""",205 lbs.,"75""",Orthodox,"Feb 22, 1993",2.95,43%,4.01,52%,1.94,71%,50%,1.2,submission specialist
Arnold Allen,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994",3.19,41%,2.00,67%,1.36,52%,76%,0.5,striker
Ben Alloway,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 19, 1981",1.28,49%,1.90,59%,0.62,50%,26%,0.0,striker
Brendan Allen,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 28, 1995",3.55,59%,4.57,39%,1.17,37%,50%,2.0,submission specialist
Ricardo Almeida,"6' 0""",170 lbs.,"74""",Orthodox,"Nov 29, 1976",2.02,49%,1.20,61%,3.74,38%,31%,1.2,submission specialist
