fighter_name,classification
Tom Aaron,striker
Papy Abedi,submission specialist
Shamil Abdurakhimov,striker
Danny Abbadi,striker
Hiroyuki Abe,striker
Ricardo Abreu,striker
Daichi Abe,striker
David Abbott,striker
Klidson Abreu,striker
Daniel Acacio,striker
Scott Adams,striker
Juan Adams,striker
Anthony Adams,striker
Sam Adkins,striker
Israel Adesanya,striker
Zarrukh Adashev,striker
Marcelo Aguiar,striker
Nick Agallar,striker
Mariya Agapova,striker
Edwin Aguilar,striker
Fabio Aguiar,striker
Jessica Aguilar,striker
Kevin Aguilar,striker
Christian Aguilera,striker
Hitomi Akano,striker
Mike Aina,striker
Rostem Akman,striker
Omari Akhmedov,striker
Razak Al-Hassan,striker
Yoshihiro Akiyama,submission specialist
Herdem Alacabek,striker
Mostapha Al-Turk,striker
Javi Alanis,striker
Heili Alateng,striker
Brett Albee,striker
Amir Albazi,striker
Wes Albritton,striker
John Albert,submission specialist
Aleksandra Albu,striker
Junior Albini,striker
Israel Albuquerque,striker
Juan Alcain,striker
Ildemar Alcantara,grappler
Alfonso Alcarez,striker
Iuri Alcantara,striker
Gilbert Aldana,striker
Hector Aldana,striker
Irene Aldana,striker
JJ Aldrich,striker
Jose Aldo,striker
Kenneth Alexander,grappler
Jim Alers,striker
Houston Alexander,striker
John Alessio,submission specialist
Marcio Alexandre Junior,striker
Olaf Alfonso,striker
Pablo Alfonso,striker
Levi Alford,striker
Bill Algeo,striker
Royce Alger,striker
Amir Aliakbari,striker
Sultan Aliev,grappler
John Allan,submission specialist
Arnold Allen,striker
George Allen,striker
Ben Alloway,striker
Brendan Allen,submission specialist
Ricardo Almeida,submission specialist
Magno Almeida,submission specialist
Thomas Almeida,striker
Ericka Almeida,striker
Mauricio Alonso,striker
Estefani Almeida,striker
Sarah Alpar,grappler
Rico Altamirano,striker
Ali AlQaisi,submission specialist
Mike Altman,striker
Sean Alvarez,striker
Jaime Alvarez,striker
Joel Alvarez,submission specialist
Eddie Alvarez,striker
Anthony Alves,striker
Amilcar Alves,striker
Thiago Alves,striker
Rafael Alves,submission specialist
Warlley Alves,submission specialist
Andre Amado,striker
Maiara Amanajas dos Santos,striker
Adlan Amagov,grappler
Sam Alvey,striker
Jimmy Ambriz,grappler
Chris Amarante,striker
JJ Ambrose,striker
Alen Amedovski,striker
Makwan Amirkhani,submission specialist
Bertrand Amoussou,striker
Eryk Anders,striker
Andy Anderson,striker
Karl Amoussou,submission specialist
Matt Andersen,striker
Lowell Anderson,striker
Derek Anderson,striker
Corey Anderson,grappler
Megan Anderson,striker
Viscardi Andrade,striker
Alex Andrade,submission specialist
Jermaine Andre,striker
Jessica Andrade,striker
Reese Andy,striker
Dylan Andrews,grappler
Julius Anglickas,submission specialist
Collin Anglin,striker
Magomed Ankalaev,striker
Yoji Anjo,striker
Nina Ansaroff,striker
Angelo Antonio,striker
Adam Antolin,striker
Gadzhimurad Antigulov,submission specialist
Azunna Anyanwu,striker
Shinsho Anzai,striker
Josh Appelt,striker
Aori Qileng,striker
Kenji Arai,striker
Erik Apple,submission specialist
Romie Aram,grappler
Shinya Aoki,submission specialist
Igor Araujo,striker
Felipe Arantes,striker
Julio Arce,striker
Viviane Araujo,striker
Art Arciniega,submission specialist
Tristan Arenal,striker
Joey Armstrong,striker
Andrei Arlovski,striker
Akbarh Arreola,striker
Ricardo Arona,submission specialist
Chalid Arrab,submission specialist
Austin Arnett,striker
Matt Arroyo,submission specialist
Antonio Arroyo,striker
Gilles Arsene,striker
Veta Arteaga,striker
Teddy Ash,striker
Cesar Arzamendia,submission specialist
Askar Askar,striker
Arman Ashimov,striker
Askar Askarov,striker
Cyril Asker,grappler
Scott Askham,striker
Ben Askren,grappler
Ibo Aslan,striker
Tom Aspinall,submission specialist
Bruno Assis,submission specialist
Junior Assuncao,striker
Raphael Assuncao,striker
Bazigit Atajev,grappler
Rich Attonito,striker
